system,num_borrowers,num_tasks,latency
leases,0,100000,17.888006925582886
leases,1,100000,17.896900177001953
leases,2,100000,15.320481777191162
leases,4,100000,14.820643186569214
leases,8,100000,14.975006103515625
leases,16,100000,17.004202604293823
centralized,0,100000,18.163085222244263
centralized,1,100000,19.601940393447876
centralized,2,100000,19.26089072227478
centralized,4,100000,18.118093252182007
centralized,8,100000,19.977070331573486
centralized,16,100000,20.744025468826294
system,num_borrowers,num_tasks,latency
ownership,0,100000,8.1912260055542
ownership,1,100000,8.342575788497925
ownership,2,100000,4.613707065582275
ownership,4,100000,4.26418924331665
ownership,8,100000,4.263081789016724
ownership,16,100000,4.311706066131592
